id,skill_path,subagent_path,description
context-distill,{project-root}/.cursor/agents/bmad-rbtv-context-distill.md,Distill targeted knowledge from referenced files relevant to a specific request
create-component,{project-root}/.cursor/skills/bmad-rbtv-create-component/SKILL.md,{project-root}/.cursor/agents/bmad-rbtv-create-component.md,Create components in BMAD architecture — agents workflows or tasks
design-validation,{project-root}/.cursor/skills/bmad-rbtv-design-validation/SKILL.md,{project-root}/.cursor/agents/bmad-rbtv-design-validation.md,Validate HTML designs using browser automation and 4-layer framework
doc,{project-root}/.cursor/skills/bmad-rbtv-doc/SKILL.md,{project-root}/.cursor/agents/bmad-rbtv-doc.md,Unified documentation generation (compound handoff product)
git,{project-root}/.cursor/skills/bmad-rbtv-git/SKILL.md,{project-root}/.cursor/agents/bmad-rbtv-git.md,Git commit workflow with Conventional Commits messages
mermaid-conversion,{project-root}/.cursor/skills/bmad-rbtv-mermaid-conversion/SKILL.md,{project-root}/.cursor/agents/bmad-rbtv-mermaid-conversion.md,Convert Mermaid diagrams to PNG images using mmdc CLI
plan,{project-root}/.cursor/skills/bmad-rbtv-plan/SKILL.md,{project-root}/.cursor/agents/bmad-rbtv-plan.md,Create structured plans following BMAD workflow with quality gates
playwright-browser-automation,{project-root}/.cursor/skills/bmad-rbtv-playwright-browser-automation/SKILL.md,{project-root}/.cursor/agents/bmad-rbtv-playwright-browser-automation.md,Navigate websites capture screenshots and interact with web pages using Playwright MCP
quality-review,{project-root}/.cursor/skills/bmad-rbtv-quality-review/SKILL.md,{project-root}/.cursor/agents/bmad-rbtv-quality-review.md,Evaluate work against quality criteria for quality gates after complex tasks
tone-extraction,{project-root}/.cursor/skills/bmad-rbtv-tone-extraction/SKILL.md,{project-root}/.cursor/agents/bmad-rbtv-tone-extraction.md,Extract voice signature from text across emotional tone structural patterns and vocabulary
visual-design-extraction,{project-root}/.cursor/skills/bmad-rbtv-visual-design-extraction/SKILL.md,{project-root}/.cursor/agents/bmad-rbtv-visual-design-extraction.md,Extract design tokens from website screenshots (colors typography spacing layout)
web-research,{project-root}/.cursor/skills/bmad-rbtv-web-research/SKILL.md,{project-root}/.cursor/agents/bmad-rbtv-web-research.md,Rigorous web research with source evaluation and citation standards
create-investor-pitch,{project-root}/.cursor/skills/bmad-rbtv-create-investor-pitch/SKILL.md,{project-root}/.cursor/agents/bmad-rbtv-create-investor-pitch.md,Stress-test and build investor pitch decks from the other side of the table
create-client-pitch,{project-root}/.cursor/skills/bmad-rbtv-create-client-pitch/SKILL.md,{project-root}/.cursor/agents/bmad-rbtv-create-client-pitch.md,Stress-test and build client/sales pitch decks from the buyer perspective
